country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,41.1,39.5,41,40.8,40.9,40.5,40.4,40.4,39.9,41.3,39.2,38.4,37.8,38.3,38.5,39
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,48.3,48.1,47.4,48.2,48,47.3,46.9,47.1,47.1,46.7,46.4,45.9,46.2,45.4,45.5,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,43.3,46.6,44.9,,45.5,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,43.4,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,41.4,,36.5,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,31,31.1,31,30.9,32.7,32.7,32.4,32.2,32,31.9,31,31.3,31,32,32.3,32.2,32.2,31.9,32,32.3,32,31.9,32.3,32.1,32.4,32.4
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,35.5,36.3,36.3,36.2,34.7,34.6,35.6,33.5,33.6,35,34.9,34.8,34.8,34.5,34.4,34.6,34.6,34.4,34.7,34.3,34.5,34.4
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,,,53.6,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,34.5,34.8,34.4,34.4,34.4,34.4,35.1,34.8,34.4,34,33.9,33,33,33,33,33,33,33,33,33
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,47.2,46.7,,46,47.3,47,47.4,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,43.4,43.5,43.1,43.4,43.3,43.1,40.8,39.2,39.1,40.9,39.4,39.5,39,39.1,38.2,37.9
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,40.4,47.6,48.4,44.8,41.6,39.9,39.2,38.5,38.6,38.6,38.7,38.3,39,38.4,38.6
Philippines,,,,,,,,,,,,,,,,,,47.8,46.7,46.9,47.6,42.6,42.4,41.5,42,42,41.6,41.6,41.6,42.2,42.1,40.9,40.8,41,41.2,41.6,41.1,41.4,41.8,41.2,41.7,41.1,41.2,41.7,40.9,,42.2,41.4
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,41.2,41.5,41.4,41.6,41.2,41.2,41.2,41,40.6,40.5,40.3,40.3,40.2,40.4,40.4,40.5,40.1
Puerto Rico,37.8,37.8,37.7,37.9,36.8,36.6,35.7,36.9,37.1,37.2,36.7,35.5,36.2,36.3,36.1,35.9,36.4,35.1,35.9,36.5,35.5,35.8,35,35.7,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,41.6,42.1,41.9,42.3,41.4,40.5,40.1,40.3,39.4,39.4,39.1,38.3,39.3,39,38.9,38.5,38.5,38.6,38.7,38.5,38.3,38.5,38.7,38.8,38.4,38.4
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,43.3,42.9,44.5,45.8,45.1,44.8,43.6,44.3,46,42,44,43.3,42.7,42.2,42.3
