country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Finland,713M,732M,870M,989M,1.08B,1.22B,1.36B,1.5B,1.75B,2.04B,2.67B,3.69B,4.32B,5.02B,5.14B,5.53B,6.47B,6.81B,7.38B,7.75B,8.06B,8.43B,8.99B,9.45B,10.4B,12.2B,12.5B,13.8B,13.3B,13.5B,14.6B,15.6B,15.9B,16.3B,17B,16.3B,17.2B,17.4B,18.1B,18.4B,18.1B,19.4B,19.9B,20.4B,20.4B,20.6B,21.1B,21.5B,21.2B
France,7.55B,8.22B,9.38B,10.8B,12.8B,12.6B,13.9B,15.4B,17.1B,19.1B,21.2B,23.4B,26.6B,30.2B,33B,38.2B,43.1B,47.5B,53.9B,58.2B,61.6B,64.3B,67.5B,74.9B,79.8B,85.8B,89.6B,93.3B,91.4B,93.5B,96.9B,107B,110B,112B,111B,109B,121B,119B,123B,127B,129B,134B,133B,142B,147B,145B,147B,146B,156B
Gabon,,,,,,,,,,,,87M,,88M,88M,88M,96M,110M,110M,113M,165M,270M,285M,378M,310M,390M,380M,391M,393M,200M,234M,232M,232M,233M,383M,403M,441M,466M,490M,521M,514M,540M,569M,587M,599M,628M,676M,720M,797M
United Kingdom,33.7B,38.3B,45.7B,52.3B,52.4B,57.3B,59.8B,62.4B,66.7B,72.2B,77.2B,80.7B,86.9B,91.3B,92.6B,89.2B,85.1B,85.9B,85.8B,89.7B,86.1B,84.5B,82.8B,83B,83.9B,88.2B,91.8B,93.3B,92.4B,92.3B,93.8B,98.1B,99.5B,101B,101B,102B,108B,105B,109B,110B,112B,115B,115B,116B,116B,117B,117B,115B,118B
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9B,2.68B,2.7B,2.95B,2.9B,4.61B,2.29B,2.59B,2.95B,2.76B,2.66B,2.58B,2.49B,2.68B,2.82B,2.96B,2.72B,2.8B,2.86B
Ghana,,,,,,,,,,,,164M,186M,216M,301M,405M,495M,543M,565M,592M,595M,638M,605M,585M,545M,539M,609M,696M,719M,804M,905M,1.03B,1.23B,1.37B,1.48B,1.63B,1.91B,1.48B,1.22B,1.59B,1.61B,1.71B,1.82B,1.89B,2.01B,1.99B,2.1B,2.1B,2.27B
Gibraltar,,,,,,,,,,,,25M,25M,25M,25M,25M,26M,26M,27M,27M,27M,28M,28M,28M,28M,28M,29M,29M,32M,33M,33M,33M,34M,,,,,,,,,,,,,,,,
Greece,554M,631M,716M,828M,958M,1.1B,1.26B,1.42B,1.52B,1.77B,1.99B,2.29B,2.68B,3.07B,3B,3.34B,3.75B,4.15B,4.78B,5.13B,5.66B,5.91B,6.31B,6.77B,7.24B,7.69B,7.81B,8.54B,8.77B,9.14B,9.08B,10B,10.6B,10.5B,10.9B,11.5B,12.3B,12.4B,12.8B,13.5B,14.2B,14.6B,15.8B,16.4B,16.9B,16.9B,17.7B,18B,18.1B
Guatemala,,,,,,,,,,,,160M,206M,222M,240M,286M,315M,363M,399M,377M,441M,437M,449M,468M,490M,500M,544M,527M,505M,593M,641M,677M,764M,830M,894M,955M,994M,1.05B,1.13B,1.29B,1.39B,1.42B,1.41B,2.01B,2.15B,2.22B,2.27B,2.33B,2.41B
"Hong Kong, China",,,,,,,,,,,,1.06B,1.19B,1.32B,1.39B,1.53B,1.65B,1.93B,2.04B,2.1B,2.34B,2.42B,2.56B,2.97B,3B,3.2B,3.56B,3.9B,4.37B,4.74B,5.29B,5.72B,6.03B,6.69B,7.18B,7.52B,8.11B,8.04B,9.11B,8.72B,8.96B,9.11B,9.28B,9.55B,9.48B,9.95B,9.84B,10.1B,10.3B
Honduras,,,,,,,,,,,,136M,148M,163M,179M,195M,221M,266M,289M,345M,211M,240M,264M,282M,291M,330M,340M,372M,405M,436M,502M,540M,562M,630M,609M,784M,868M,984M,1.11B,1.17B,1.33B,1.43B,1.5B,1.54B,1.66B,1.76B,1.81B,2.06B,2.13B
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47B,4.46B,4.05B,4.15B,4.21B,4.62B,4.9B,5.19B,5.27B,5.74B,5.73B,5.56B,5.96B,5.7B,6.07B,6.33B,6.52B,6.39B,6.71B
Haiti,,,,,,,,,,,,47M,47M,47M,58M,81M,69M,94M,94M,94M,116M,123M,132M,129M,131M,138M,126M,139M,146M,159M,155M,127M,109M,103M,65M,108M,116M,81M,116M,128M,116M,116M,93M,93M,105M,107M,109M,86M,80M
